Module Number,Image,Attribution/Reference/Copyright,Link to image,License / Copyright Status
,"A Tribute to Aboriginal Women ,"," Leah Dorion, 2016
",,
,Governance,"Leah Dorion, 2016",,
,"Resource Use,","Leah Dorion, 2016
",,
,Urbanization and the Effects,"Leah Dorion, 2016",,
,"Education, ","Leah Dorion, 2016",,
,"
The Arts and the Environment "," Leah Dorion, 2016",,
Module 1,"Big Bear Trading, 1884",O.B. Buell/Library and Archives Canada/ PA-118768,http://www.bac-lac.gc.ca/eng/portrait-portal/Pages/arprofile.aspx?ArchivalRecordKey=3159944,Copyright: Expired
Module 1,First Nations Woman Demonstrates Drum,Mark Klotz/Flickr/ CC BY 2.0,https://www.flickr.com/photos/markklotz/15669082918/,https://creativecommons.org/licenses/by/2.0/
Module 1,Langs N. Amer,Ish ishwar/Wikimedia Commons/ CC BY 2.0,https://commons.wikimedia.org/wiki/File:Langs_N.Amer.png,https://creativecommons.org/licenses/by/2.0/
Module 1,Sunlight over Earth as seen by STS-29 crew,NASA on The Commons/Flickr/ Public Domain,https://flic.kr/p/fq3ciJ,Copyright: Public Domain (no known copyright restrictions)
Module 1,010105 Brenda M Painting,University of Alberta/ Brenda Morency,No link,Copyright: Brenda Morency
Module 1,Dancing Metis Sashes,National Aboriginal Day 2014 University of the Fraser Valley/Flickr / CC BY 2.0,https://www.flickr.com/photos/ufv/14449027815/,https://creativecommons.org/licenses/by/2.0/
Module 1,Woman Child Regalia,National Aboriginal Day 2014 University of the Fraser Valley/Flickr / CC BY 2.0,https://flic.kr/p/o1HSZw,https://creativecommons.org/licenses/by/2.0/
Module 1,010202 Brenda M Painting,University of Alberta/ Brenda Morency,No link,Copyright: Brenda Morency
Module 1,Lake Ripples,North by Steve/Flickr/ CC BY 2.0,https://flic.kr/p/cVmXLy,https://creativecommons.org/licenses/by/2.0/
Module 1,Rocky Mountains DSC00154,Jon Rawlinson/Flickr/ CC BY 2.0,https://flic.kr/p/5EQW1m,https://creativecommons.org/licenses/by/2.0/
Module 1,Quebec River DSCF0457,xonnox/Flickr/ CC BY 2.0,https://flic.kr/p/5vTW3i,https://creativecommons.org/licenses/by/2.0/
Module 1,Snowy Foothills AB,Ryan Scott (dr-scott)/Flickr/ CC0 1.0,https://flic.kr/p/iFSw7r,https://creativecommons.org/publicdomain/zero/1.0/
Module 1,Art by Tracy Bear, University of Alberta,No link,Copyright: University of Alberta
Module 1,Little Hawk Lake ,Dave Doe/Flickr/ CC BY 2.0,https://flic.kr/p/ooqfYZ,https://creativecommons.org/licenses/by/2.0/
Module 1,Sunrise Little Trour Bay 3 Lake Superior Northern Ontario,Sharon Mollerus/ Flickr/ CC BY 2.0,https://flic.kr/p/2ZXLwo,https://creativecommons.org/licenses/by/2.0/
Module 1,Monarch,U.S. Department of Agriculture/ Flickr/ CC BY 2.0 ,https://flic.kr/p/o2oUAM,https://creativecommons.org/licenses/by/2.0/
Module 1,Balancing Act ,LadyDragonflyCC/Flickr/ CC BY 2.0,https://flic.kr/p/9M2AtW,https://creativecommons.org/licenses/by/2.0/
Module 1,Cedar on Glacial Erratic,Chris Huggins/Flickr/ CC BY 2.0,https://flic.kr/p/8h4UoL,https://creativecommons.org/licenses/by/2.0/
Module 1,Micro Falls,Elvir K/Flickr/ CC BY 2.0,https://flic.kr/p/FXto24,https://creativecommons.org/licenses/by/2.0/
Module 1,Brenda M Painting 010304 ,University of Alberta/ Brenda Morency,No link,Copyright: Brenda Morency
Module 1,Wildest Arctic,Lwp Kommunicacio/Flickr/ CC BY 2.0,https://flic.kr/p/dANWNY,https://creativecommons.org/licenses/by/2.0/
Module 1,Inuit Women in New Parkas ,George Hunter/ National Film Board of Canada/ Library and Archives Canada/ PA-166456,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-28T18%3A22%3A13Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192229&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 1,"Artist Kenojuak and her two children exiting a tent, Cape Dorset, Nunavut",Library and Archives Canada/Credit: Rosemary Gilliat Eaton/Rosemary Gilliat Eaton fonds/e010835920,http://collectionscanada.gc.ca/pam_archives/index.php?fuseaction=genitem.displayItem&lang=eng&rec_nbr=4731503,© Library and Archives Canada. Reproduced with the permission of Library and Archives Canada.
Module 1,Salomonie at work on model,National Film Board of Canada/ Library and Archives Canada/RD-002168,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-28T18%3A35%3A19Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3377916&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 1,Inuit Woman carrying her baby in Chesterfield Inlet ,"S.J. Bailey, Canada. Dept. of Indian and Northern Affairs/ Library and Archives Canada/e008446944",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-28T18%3A09%3A06Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3855437&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 1,"Mother in Inuit ""Mere Inuit Pivurnituk""",Martin Comeau/Flickr/ CC BY 2.0,https://www.flickr.com/photos/martincomeau72/14309097784/,https://creativecommons.org/licenses/by/2.0/
