DATE,Engine,Database,Terms,# Results,References
190213,Summon,UVic Library,indigenous adoption higher education canada,25,pidgeonMoreChecklistMeaningful2016
190213,Summon,UVic Library,indigenous adoption higher education canada,25,elliottIndigenousResurgenceDrive2018
190213,OneSearch,TWU Library,indigenous adoption higher education canada,8,simonPostSecondaryDistanceEducation2014
190213,OneSearch,TWU Library,indigenous adoption higher education canada,8,cunninghamTeachingDisembodiedOthering2014
190213,irrodl.org,irrodl.org,indigenous adoption higher education canada,4,staggOpenEducationalPractices2018
190213,irrodl.org,irrodl.org,indigenous adoption higher education canada,4,taitDistanceElearningSocial2013
190215,Summon,UVic,indigenous online learning canada,5,tanakaLearningTeachingTogether2016
190215,Summon,UVic,indigenous online learning canada,5,morongCulturallyResponsiveOnline2016
190215,Summon,UVic,indigenous online learning canada,5,mcauleyDecolonizingCyberspaceOnline2011
190215,Summon,UVic,indigenous online learning canada,5,simonPostSecondaryDistanceEducation2014
190215,Summon,UVic,indigenous online learning canada,5,kitchenhamIndigenousLearningPreferences2017
